Solvent,Name,Polarity,Count,RMSE_With,RMSE_Without,Delta_RMSE,Pct_Improvement,bertz_complexity,n_functional_groups,n_heteroatoms,n_rotatable_bonds,composite_complexity,complexity_quartile
ClC(Cl)(Cl)Cl,Carbon Tetrachloride,non-polar,192,0.7420668543608209,0.7365898349802035,-0.0054770193806173,-0.743564344838481,19.11941547876375,1,4,0,1.2284229000899107,Q3
Cc1ccccc1C,Cc1ccccc1C,non-polar,62,0.3025226047330272,0.2961686472829006,-0.0063539574501265,-2.1453849043167827,156.14811391899892,0,0,0,0.7765957342632289,Q2
CCCCC,CCCCC,non-polar,17,1.5767594090592496,1.569133816452145,-0.0076255926071047,-0.4859746522031111,7.509775004326938,0,0,2,0.03734953363997899,Q1
CCCOC(C)=O,Propyl Acetate,polar-aprotic,248,0.2738399645538992,0.2651564496482035,-0.0086835149056956,-3.27486467601167,59.10049400592804,3,2,2,1.693933691454398,Q4
Clc1ccccc1Cl,Clc1ccccc1Cl,non-polar,20,1.12761433965836,1.1185324998077488,-0.0090818398506111,-0.8119424202848055,162.63833891467198,1,2,0,1.5422079143885439,Q4
CS(C)=O,DMSO,polar-aprotic,433,0.7936760955409481,0.7823126649038116,-0.0113634306371365,-1.4525433559910086,29.019550008653873,0,2,0,0.5443274477119188,Q1
Cc1cccc(C)c1,Cc1cccc(C)c1,non-polar,47,0.1913063330473939,0.1796117254358844,-0.0116946076115095,-6.511049088320296,159.89811391899892,0,0,0,0.7952461933075041,Q2
ClCCl,Dichloromethane,polar-aprotic,354,0.7811932352050943,0.7688676283532483,-0.012325606851846,-1.6030856804629516,2.754887502163469,1,2,0,0.7470346444081828,Q2
CC(=O)OC(C)C,CC(=O)OC(C)C,polar-protic,140,0.3066466047515785,0.2935379188193918,-0.0131086859321867,-4.465755560613722,66.48040587771368,3,2,1,1.7306373565517577,Q4
CCCCCCCCCO,CCCCCCCCCO,polar-protic,16,0.2025590671432412,0.1894214119718844,-0.0131376551713567,-6.935675874545162,44.68995593589281,1,1,7,0.7555968514327553,Q2
CCc1ccccc1,CCc1ccccc1,non-polar,117,0.4340488359354086,0.4197261149291424,-0.0143227210062662,-3.4123969171382607,141.38429890473827,0,0,1,0.7031685536603693,Q2
CCOC=O,CCOC=O,polar-protic,138,0.4647625468357494,0.4498436894661403,-0.0149188573696091,-3.3164536302186076,26.074033921146967,2,2,2,1.1963447204707718,Q3
CC(C)CC(C)(C)C,CC(C)CC(C)(C)C,non-polar,20,0.938668159154752,0.9231236089399796,-0.0155445502147721,-1.683907774021938,54.928786893420316,0,0,1,0.273185890748655,Q1
CCC(=O)OC,CCC(=O)OC,polar-protic,27,0.2280090440785307,0.2119848770271163,-0.0160241670514143,-7.559108591206072,43.50977500432694,3,2,1,1.616393940465021,Q4
c1ccccc1,Benzene,non-polar,254,0.6128919373506118,0.5954028433741003,-0.0174890939765114,-2.937354796191792,71.96100505779535,0,0,0,0.3578948740307448,Q1
O=S1(=O)CCCC1,O=S1(=O)CCCC1,polar-aprotic,24,0.2293892168818341,0.211765652083811,-0.0176235647980231,-8.322201747358056,133.07272996525947,0,3,0,1.2618313333671907,Q3
O=C1CCCC1,O=C1CCCC1,polar-aprotic,35,0.1623032162435383,0.1435397972881174,-0.0187634189554208,-13.071928001791989,58.33869642763737,2,1,0,1.1568115915786812,Q3
CCOCCOCCO,CCOCCOCCO,polar-protic,44,0.8675752848252711,0.848453645496616,-0.0191216393286551,-2.253704657897124,41.56763141529687,2,3,6,1.473401441940939,Q4
OCCOCCO,OCCOCCO,polar-protic,36,1.2243493245008688,1.205216728651104,-0.0191325958497647,-1.587481769455546,26.115877901113386,2,3,4,1.3965528296533352,Q3
CCCCOC(C)=O,Butyl Acetate,polar-aprotic,340,0.4458083321129513,0.4250817532971877,-0.0207265788157635,-4.87590414196701,68.92878689342031,3,2,3,1.7428142711806158,Q4
CCOP(=O)(OCC)OCC,CCOP(=O)(OCC)OCC,polar-protic,13,1.0372883443334775,1.0157743147075666,-0.0215140296259108,-2.117993073304338,112.769535289866,0,5,6,1.5608542931641582,Q4
O=C1CCCO1,O=C1CCCO1,polar-aprotic,32,1.1393143457115011,1.1163386221030989,-0.0229757236084022,-2.0581321073634204,59.94833690207419,3,2,0,1.6981504005772123,Q4
CC(=O)CC(C)(C)O,CC(=O)CC(C)(C)O,polar-protic,10,0.092611681431604,0.0688997021840231,-0.0237119792475809,-34.415212977624996,89.19188266301451,3,2,2,1.843591881250227,Q4
