pair_id,n_temps,apelblat_r2,A,B,C,model_rmse,curve_rmse,slope_correlation,holdout_rmse,holdout_apelblat_rmse
Brc1cc(Br)cc(Br)c1||CC(=O)N(C)C,9,0.9998395551176976,3.1496674709804657,-3139.4998119507404,1.0615179270310642,0.43140694077574154,0.44025644982357354,-0.1327386508116129,0.43140694077574154,0.0026045068882581835
O=Cc1ccc(C=O)cc1||CN1CCCC1=O,8,0.9996859838521185,-196.0673533152296,6765.113211677311,30.574765402168417,0.20413240008929473,0.1948945305765774,-0.17651820404749743,0.20413240008929473,0.0017000414823521376
O=Cc1ccc(O)c(Br)c1||CCCCCCCCO,10,0.9997776649319112,-121.4031786599092,2896.755263779386,19.265676986350943,0.057801204458405954,0.06636076377175669,0.16455561995530826,0.057801204458405954,0.0029753347478367782
O=Cc1ccc(O)c(Br)c1||CS(C)=O,7,0.9996283592861805,-340.2755641461988,12857.766085576348,51.93766495469065,0.15004682411415005,0.16318850682410918,-0.15335715852365298,0.15004682411415005,0.002761275203392921
O=Cc1ccc2ccccc2c1||CCCCCCC,7,0.9947398047444146,-161.6655660703751,3413.0935823791515,26.022341612768038,0.1949026451491968,0.20371966231738084,-0.051356746312413146,0.1949026451491968,0.015434131301631506
O=P(NCc1cccc(CNP(=O)(Oc2ccccc2)Oc2ccccc2)c1)(Oc1ccccc1)Oc1ccccc1||COC(C)COC(C)COC(C)CO,11,0.9997568806281755,41.16451708609998,-5047.406892294427,-4.92270690094718,0.215169013772612,0.2251622842986892,0.2881906699143847,0.215169013772612,0.0037137254682572665
O=P(O)(CO)c1ccccc1||c1ccccc1,9,0.9992974238451441,-36.712129605797955,-1333.014943498929,6.4561132069121525,0.09266860573824873,0.09474084894325363,0.2639348083596656,0.09266860573824873,0.005100081753932912
O=P(O)(O)c1ccccc1||CCCCCCCCO,12,0.9994420510683765,5.801995516855317,-1765.073309750453,0.03654215970449495,0.09729194557778843,0.10020064446488501,0.23106744174921284,0.09729194557778843,0.003394239546812216
O=P(O)(O)c1ccccc1||CCCCCCCO,12,0.9998045727784085,-39.91778614041393,443.6504601503982,6.808995493876348,0.09092122798794106,0.08840626154719708,0.21397015149482057,0.09092122798794106,0.0018395373156760845
O=P(O)(O)c1ccccc1||CCCCCCO,12,0.9992827563802291,-4.077280638940424,-1130.6783546714905,1.4882765994966494,0.12470461968156901,0.11982477529490096,0.2078952089689607,0.12470461968156901,0.0034302943902345187
O=P(O)(O)c1ccccc1||CCCCOCCO,12,0.9993940236855935,-107.63683842222478,3865.6720483828813,16.772027715297707,0.29946607015297666,0.29230831715715727,0.2188138663970428,0.29946607015297666,0.002467349672271073
O=P(O)(O)c1ccccc1||CCCOCCO,12,0.9990799849681814,-72.19176690239415,2373.6965988942434,11.498940339754574,0.46758973818600813,0.4605630672140247,0.21450157516583598,0.46758973818600813,0.002760861239479212
O=P(O)(O)c1ccccc1||COCCO,12,0.999122361974608,-85.84498541103414,3195.7178046428185,13.54750545557133,0.40963375207191766,0.4022341893190067,0.16054418660328548,0.40963375207191766,0.002224234624971424
O=P(O)(c1ccccc1)c1ccccc1||CCOCCO,16,0.9998395209582559,-82.08888322693092,1650.6548231324327,13.001449832164917,0.2855790224097805,0.27438068648952685,-0.599201247462134,0.2855790224097805,0.0030872265126894293
O=P(Oc1ccccc1)(Oc1ccccc1)N1CCN(P(=O)(Oc2ccccc2)Oc2ccccc2)CC1||CCCOCC(C)O,11,0.9999682998946791,-118.20757540810918,1505.8989653049953,18.8548852885422,0.46351211339306475,0.4749754689905113,-0.29298740110917154,0.46351211339306475,0.001717649078039221
