Solvent,Name,Polarity,Count,RMSE_With,RMSE_Without,Delta_RMSE,Pct_Improvement,n_heteroatoms_simple,data_scarce,multifunctional,difficult
CC(C)CCCCCO,CC(C)CCCCCO,polar-protic,15,0.2121811328894658,0.215067472498629,0.0028863396091631,1.3420623656520403,1,True,False,False
CCCCCCO,1-Hexanol,polar-protic,194,0.3349090871884597,0.3374423017090859,0.0025332145206262,0.7507104200617197,1,False,False,False
CC(=O)O,Acetic Acid,polar-protic,338,0.6894729062747119,0.6909007524219097,0.0014278461471978,0.2066644365623563,2,False,False,False
CCC(C)O,2-Butanol,polar-protic,499,0.3254867758642104,0.3264554715572155,0.0009686956930051,0.2967313393108011,1,False,False,False
O=C1CCCCC1,Cyclohexanone,polar-aprotic,244,0.4297593422373115,0.4302758269768842,0.0005164847395727,0.1200357322421746,1,False,False,False
CCOCC,CCOCC,polar-protic,84,0.5808803727018498,0.58085136814325,-2.9004558599776686e-05,-0.0049934561904352,1,False,False,False
CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC,non-polar,16,1.090870332215884,1.0892206441744838,-0.0016496880414003,-0.1514558184536249,0,True,False,True
CCCCCOC(C)=O,CCCCCOC(C)=O,polar-protic,68,0.2815690933211566,0.2796306208170991,-0.0019384725040574,-0.693226120370202,2,False,False,False
CC(=O)N(C)C,DMAc,polar-aprotic,167,0.4087674725716312,0.4067387679874177,-0.0020287045842135,-0.4987733513212244,2,False,False,False
CC(C)CCO,3-Methyl-1-butanol,polar-protic,207,0.1910661923827661,0.1888063712851176,-0.0022598210976484,-1.1968987499028,1,False,False,False
CCOCCOCC,CCOCCOCC,polar-protic,18,1.0414253207243127,1.037264594098202,-0.0041607266261107,-0.4011249058132669,2,True,False,True
CCCCOP(=O)(OCCCC)OCCCC,CCCCOP(=O)(OCCCC)OCC...,polar-protic,10,0.1245665926467073,0.1201684241762294,-0.0043981684704778,-3.660003449847926,4,True,True,False
COC(C)(C)C,COC(C)(C)C,polar-protic,103,0.8615300196115414,0.8570402063177945,-0.0044898132937468,-0.523874289753219,1,False,False,True
CCC(=O)CC,CCC(=O)CC,polar-protic,54,0.7400280647732697,0.7355328994406616,-0.004495165332608,-0.6111440203458525,1,False,False,False
CC(C)c1ccccc1,CC(C)c1ccccc1,non-polar,10,0.4041527698199285,0.3992398517537549,-0.0049129180661735,-1.2305680519097495,0,True,False,False
ClC(Cl)(Cl)Cl,Carbon Tetrachloride,non-polar,192,0.7420668543608209,0.7365898349802035,-0.0054770193806173,-0.743564344838481,4,False,True,False
Cc1ccccc1C,Cc1ccccc1C,non-polar,62,0.3025226047330272,0.2961686472829006,-0.0063539574501265,-2.1453849043167827,0,False,False,False
CCCCC,CCCCC,non-polar,17,1.5767594090592496,1.569133816452145,-0.0076255926071047,-0.4859746522031111,0,True,False,True
CCCOC(C)=O,Propyl Acetate,polar-aprotic,248,0.2738399645538992,0.2651564496482035,-0.0086835149056956,-3.27486467601167,2,False,False,False
Clc1ccccc1Cl,Clc1ccccc1Cl,non-polar,20,1.12761433965836,1.1185324998077488,-0.0090818398506111,-0.8119424202848055,2,True,False,True
CS(C)=O,DMSO,polar-aprotic,433,0.7936760955409481,0.7823126649038116,-0.0113634306371365,-1.4525433559910086,2,False,False,True
Cc1cccc(C)c1,Cc1cccc(C)c1,non-polar,47,0.1913063330473939,0.1796117254358844,-0.0116946076115095,-6.511049088320296,0,False,False,False
ClCCl,Dichloromethane,polar-aprotic,354,0.7811932352050943,0.7688676283532483,-0.012325606851846,-1.6030856804629516,2,False,False,True
CC(=O)OC(C)C,CC(=O)OC(C)C,polar-protic,140,0.3066466047515785,0.2935379188193918,-0.0131086859321867,-4.465755560613722,2,False,False,False
CCCCCCCCCO,CCCCCCCCCO,polar-protic,16,0.2025590671432412,0.1894214119718844,-0.0131376551713567,-6.935675874545162,1,True,False,False
CCc1ccccc1,CCc1ccccc1,non-polar,117,0.4340488359354086,0.4197261149291424,-0.0143227210062662,-3.4123969171382607,0,False,False,False
CCOC=O,CCOC=O,polar-protic,138,0.4647625468357494,0.4498436894661403,-0.0149188573696091,-3.3164536302186076,2,False,False,False
CC(C)CC(C)(C)C,CC(C)CC(C)(C)C,non-polar,20,0.938668159154752,0.9231236089399796,-0.0155445502147721,-1.683907774021938,0,True,False,True
CCC(=O)OC,CCC(=O)OC,polar-protic,27,0.2280090440785307,0.2119848770271163,-0.0160241670514143,-7.559108591206072,2,True,False,False
c1ccccc1,Benzene,non-polar,254,0.6128919373506118,0.5954028433741003,-0.0174890939765114,-2.937354796191792,0,False,False,False
O=S1(=O)CCCC1,O=S1(=O)CCCC1,polar-aprotic,24,0.2293892168818341,0.211765652083811,-0.0176235647980231,-8.322201747358056,3,True,True,False
O=C1CCCC1,O=C1CCCC1,polar-aprotic,35,0.1623032162435383,0.1435397972881174,-0.0187634189554208,-13.071928001791989,1,False,False,False
CCOCCOCCO,CCOCCOCCO,polar-protic,44,0.8675752848252711,0.848453645496616,-0.0191216393286551,-2.253704657897124,3,False,True,True
OCCOCCO,OCCOCCO,polar-protic,36,1.2243493245008688,1.205216728651104,-0.0191325958497647,-1.587481769455546,3,False,True,True
CCCCOC(C)=O,Butyl Acetate,polar-aprotic,340,0.4458083321129513,0.4250817532971877,-0.0207265788157635,-4.87590414196701,2,False,False,False
CCOP(=O)(OCC)OCC,CCOP(=O)(OCC)OCC,polar-protic,13,1.0372883443334775,1.0157743147075666,-0.0215140296259108,-2.117993073304338,4,True,True,True
O=C1CCCO1,O=C1CCCO1,polar-aprotic,32,1.1393143457115011,1.1163386221030989,-0.0229757236084022,-2.0581321073634204,2,False,False,True
CC(=O)CC(C)(C)O,CC(=O)CC(C)(C)O,polar-protic,10,0.092611681431604,0.0688997021840231,-0.0237119792475809,-34.415212977624996,2,True,False,False
CCCOCCO,CCCOCCO,polar-protic,51,0.6273124705126402,0.6008013033474012,-0.0265111671652389,-4.412634762529699,2,False,False,False
Nc1ccccc1,Nc1ccccc1,polar-aprotic,10,0.5053575046076688,0.475681685894591,-0.0296758187130778,-6.238587608700553,1,True,False,False
O=CO,O=CO,polar-aprotic,31,0.6421616605690397,0.6121223445646758,-0.0300393160043638,-4.90740393176252,2,False,False,False
CCC(C)OC(C)=O,CCC(C)OC(C)=O,polar-protic,10,0.3349304846539953,0.3018425251809846,-0.0330879594730107,-10.961993991128724,2,True,False,False
CC(=O)CC(C)=O,CC(=O)CC(C)=O,polar-protic,10,0.3388555498337536,0.3018590473106418,-0.0369965025231118,-12.25621787808763,2,True,False,False
OCc1ccccc1,OCc1ccccc1,polar-protic,36,0.7889592331200536,0.7501587607471838,-0.0388004723728697,-5.172301438461262,1,False,False,False
CC(=O)OC(C)(C)C,CC(=O)OC(C)(C)C,polar-protic,10,0.4639063113297106,0.4232381698246203,-0.0406681415050902,-9.608807618165,2,True,False,False
CCCC(C)=O,CCCC(C)=O,polar-protic,30,0.2334982552168155,0.1909603493354703,-0.0425379058813451,-22.27577925437103,1,True,False,False
COCC(C)OC(C)=O,COCC(C)OC(C)=O,polar-protic,33,0.6678940857563058,0.6190614127149264,-0.0488326730413793,-7.888179110893237,3,False,True,False
CCCCOCCO,CCCCOCCO,polar-protic,22,0.7268931202648649,0.6768764824554592,-0.0500166378094056,-7.389330122382698,2,True,False,False
ClCC1CO1,ClCC1CO1,polar-protic,18,0.6253387509686325,0.574419832020032,-0.0509189189486004,-8.864408244669509,2,True,False,False
COc1ccccc1,COc1ccccc1,polar-protic,36,0.5500433892810673,0.472980001146132,-0.0770633881349353,-16.293159953527457,1,False,False,False
CCCBr,CCCBr,non-polar,15,0.5181780915643585,0.4390677930168352,-0.0791102985475232,-18.0177867303717,1,True,False,False
CC1CCCCC1,CC1CCCCC1,non-polar,41,0.9841663595032144,0.9029952088115004,-0.0811711506917141,-8.989100927628346,0,False,False,True
CCCOCCC,CCCOCCC,polar-protic,40,0.5333198370153239,0.4388074816844898,-0.094512355330834,-21.538455763794403,1,False,False,False
CC(=O)OC(C)=O,CC(=O)OC(C)=O,polar-protic,18,0.7022898906100667,0.6014741523517887,-0.100815738258278,-16.761441512338372,3,True,True,False
ClC=C(Cl)Cl,ClC=C(Cl)Cl,non-polar,38,0.5467023004174345,0.4163591006946058,-0.1303431997228287,-31.305476331699985,3,False,True,False
