Source,Solute,Solvent,Num_Temps,RMSE_Known,R2_Known,R2_Synthetic,RMSE_Synthetic,R2_Holdout_Interp,R2_Holdout_Extrap,Shape_Correlation,Curve_Max_Deviation,Curve_Within_Tolerance,Mean_Signed_Error,Pct_Over_Prediction,Bias_Category,Curve_Position,Category
train,O=[N+]([O-])c1ncccc1O,CCO,9,0.1801386070855759,0.7421954440532041,0.6360441692317492,0.4600083899134861,0.72700951264714,0.7403101977356803,0.9998041905399471,0.31381126935161263,True,0.019808341141450976,55.55555555555556,Balanced,Intersects,Moderate
train,O=[N+]([O-])c1ncccc1O,CCOC(C)=O,9,0.1648098897504328,0.20163856184419438,0.6600996635553871,0.2297534433253903,-3.749036088539275,0.5830470606049445,0.9994194481272692,0.237699314742156,True,-0.15778965029199113,0.0,Under,Below,Poor
train,O=[N+]([O-])c1ncccc1O,CO,9,0.18772074250955545,0.6880284503373727,0.6174357211992305,0.44844928836139547,0.1838536176701333,0.7373203226837641,0.9993020425649994,0.3142830917609132,True,-0.07821940937235566,33.33333333333333,Under,Intersects,Moderate
train,O=[N+]([O-])c1ncccc1O,O,9,0.1336401042173882,0.862781819598279,0.764216545244376,0.3744582539323069,0.820153734146609,0.8620016808139538,0.9999254182572965,0.21813439658686207,True,-0.022614844380619312,44.44444444444444,Balanced,Intersects,Good
train,O=[PH](O)c1ccccc1,CC(C)=O,7,0.19341157160871036,0.5824891057938277,0.4854773494072091,0.48941574171247104,-1.3504198674220023,0.5702851466153848,0.9991041837774253,0.3213123543575591,True,0.0365832379223726,57.14285714285714,Balanced,Intersects,Moderate
train,O=[PH](O)c1ccccc1,CCO,9,0.07094281045108139,0.8869403229398768,0.9072968051307476,0.13850063065677554,0.26388186102635247,0.9292632851196037,0.9986923199964989,0.10222141593282785,True,-0.05455757656460317,22.22222222222222,Under,Intersects,Good
train,O=[PH](O)c1ccccc1,CCOC(C)=O,8,0.2629101708997905,0.49274794317473913,0.5601644363177605,0.40753634761162705,0.33524849096764275,0.5779987318810578,0.9993610280569899,0.4700752149553864,True,0.15331134769143634,62.5,Over,Intersects,Moderate
train,O=[PH](O)c1ccccc1,CCOCCO,15,0.16401177003218767,0.061551534661411056,0.30493624531459407,0.24739503461750265,-1.4590170866820977,0.19856488556257823,0.9906002540091553,0.19854492614603547,True,-0.15258372476287363,0.0,Under,Below,Poor
train,O=[PH](O)c1ccccc1,CO,7,0.1530642199782385,0.3343672332422961,0.6477489275915185,0.2547379555329605,-6.65299203745488,0.6149328410944033,0.9999968881390072,0.24320227823272234,True,-0.1345632983006246,0.0,Under,Below,Poor
train,O=[PH](O)c1ccccc1,Cc1ccccc1,11,0.21088331169223387,0.7407747538699095,0.6917185746883912,0.4131109455663383,0.4582315977810365,0.720621469700111,0.9993412351177822,0.3575660597235668,True,-0.08384895453275869,36.36363636363637,Under,Intersects,Moderate
