Feature,Target_Correlation,Abs_Correlation
NumValenceElectrons,-0.53697198784433,0.53697198784433
AUTOCORR2D_2,-0.5339838693789769,0.5339838693789769
AUTOCORR2D_16,-0.529767915704747,0.529767915704747
AUTOCORR2D_1,-0.5294909993407549,0.5294909993407549
AUTOCORR2D_31,-0.5279710109249834,0.5279710109249834
FpDensityMorgan1,0.5246139952988835,0.5246139952988835
AUTOCORR2D_7,-0.5232335387483844,0.5232335387483844
AUTOCORR2D_32,-0.5231670855017085,0.5231670855017085
Kappa1,-0.5229910096211395,0.5229910096211395
AUTOCORR2D_37,-0.5184836223999262,0.5184836223999262
AUTOCORR2D_21,-0.517807922167302,0.517807922167302
AUTOCORR2D_15,-0.5130528578025076,0.5130528578025076
AUTOCORR2D_18,-0.5083863547424008,0.5083863547424008
AUTOCORR2D_22,-0.5083567519850188,0.5083567519850188
AUTOCORR2D_38,-0.507220418060178,0.507220418060178
AUTOCORR2D_17,-0.5065315925009829,0.5065315925009829
BertzCT,-0.5040697540440213,0.5040697540440213
AUTOCORR2D_34,-0.5040264385153524,0.5040264385153524
AUTOCORR2D_36,-0.5036493914728172,0.5036493914728172
AUTOCORR2D_20,-0.5025495898873946,0.5025495898873946
AUTOCORR2D_33,-0.5003189911907361,0.5003189911907361
AUTOCORR2D_19,-0.4972168258394841,0.4972168258394841
AUTOCORR2D_35,-0.4964017842086403,0.4964017842086403
AUTOCORR2D_46,-0.496061042045076,0.496061042045076
abraham_V,-0.49106536537201717,0.49106536537201717
AUTOCORR2D_23,-0.4904727055461064,0.4904727055461064
AUTOCORR2D_39,-0.4897958639449576,0.4897958639449576
AvgIpc,-0.4883555842103632,0.4883555842103632
AUTOCORR2D_47,-0.4873755110980016,0.4873755110980016
AUTOCORR2D_45,-0.48703335727026287,0.48703335727026287
AUTOCORR2D_55,-0.4573973086352528,0.4573973086352528
AUTOCORR2D_44,-0.45425044369502793,0.45425044369502793
NumAromaticCarbocycles,-0.4531058469062494,0.4531058469062494
mose_benzene,-0.45304948990757316,0.45304948990757316
fr_benzene,-0.45304948990757316,0.45304948990757316
mose_fused,-0.4504171195068711,0.4504171195068711
AUTOCORR2D_42,-0.43772602388568294,0.43772602388568294
AUTOCORR2D_54,-0.43736448375723086,0.43736448375723086
Kappa2,-0.4366486026143967,0.4366486026143967
AUTOCORR2D_40,-0.4300654268136858,0.4300654268136858
AUTOCORR2D_43,-0.42835816419810807,0.42835816419810807
PEOE_VSA7,-0.4210984470202685,0.4210984470202685
AUTOCORR2D_95,-0.4197349669221645,0.4197349669221645
RingCount,-0.4146491367371076,0.4146491367371076
FpDensityMorgan2,0.4091443907596679,0.4091443907596679
AUTOCORR2D_41,-0.40639519995009254,0.40639519995009254
AUTOCORR2D_71,-0.39822127942995905,0.39822127942995905
mose_branched_4,-0.39706006802644556,0.39706006802644556
AUTOCORR2D_53,-0.39622462545624576,0.39622462545624576
AUTOCORR2D_94,-0.39071771282461754,0.39071771282461754
NumAromaticRings,-0.3847986631762922,0.3847986631762922
AUTOCORR2D_151,-0.3810210060255187,0.3810210060255187
AUTOCORR2D_87,-0.37418752766859337,0.37418752766859337
AUTOCORR2D_183,-0.3735430174718125,0.3735430174718125
AUTOCORR2D_79,-0.36900071869193785,0.36900071869193785
AUTOCORR2D_70,-0.3669969280568562,0.3669969280568562
AUTOCORR2D_167,-0.36095087598924663,0.36095087598924663
AUTOCORR2D_175,-0.3586836247653205,0.3586836247653205
AUTOCORR2D_96,-0.35637709474994456,0.35637709474994456
AUTOCORR2D_159,-0.35513905964865766,0.35513905964865766
AUTOCORR2D_63,-0.3545739817765142,0.3545739817765142
AUTOCORR2D_93,-0.35229112887059294,0.35229112887059294
AUTOCORR2D_191,-0.34861779531081016,0.34861779531081016
AUTOCORR2D_52,-0.342703394797823,0.342703394797823
Phi,-0.34234480146096147,0.34234480146096147
BalabanJ,0.34193718748213364,0.34193718748213364
AUTOCORR2D_86,-0.33161730965781133,0.33161730965781133
AUTOCORR2D_150,-0.3252080651246887,0.3252080651246887
AUTOCORR2D_78,-0.31701076521361854,0.31701076521361854
AUTOCORR2D_69,-0.31427422954299195,0.31427422954299195
AUTOCORR2D_182,-0.31417113219611076,0.31417113219611076
AUTOCORR2D_128,-0.31028384668211195,0.31028384668211195
AUTOCORR2D_104,-0.31013032332111173,0.31013032332111173
AUTOCORR2D_120,-0.30143094566442774,0.30143094566442774
AUTOCORR2D_174,-0.3006972873140471,0.3006972873140471
