Feature,Category,Correlation,Abs_Corr
AUTOCORR2D_80,TOPOLOGICAL,0.18925224323972742,0.18925224323972742
fr_Al_OH,COMPOSITIONAL,0.18918642695976695,0.18918642695976695
MACCS_76,TOPOLOGICAL,0.18859997832596231,0.18859997832596231
AUTOCORR2D_42,TOPOLOGICAL,0.188404549552838,0.188404549552838
AUTOCORR2D_102,TOPOLOGICAL,-0.18751328125200983,0.18751328125200983
Morgan_233,TOPOLOGICAL,0.1872276865467933,0.1872276865467933
Morgan_420,TOPOLOGICAL,0.18311069054173149,0.18311069054173149
Morgan_268,TOPOLOGICAL,0.18285515136486566,0.18285515136486566
Morgan_250,TOPOLOGICAL,0.18018846401280014,0.18018846401280014
Morgan_529,TOPOLOGICAL,0.17921275397908062,0.17921275397908062
Morgan_375,TOPOLOGICAL,0.17886956022470155,0.17886956022470155
MACCS_50,TOPOLOGICAL,0.17806114335690457,0.17806114335690457
AUTOCORR2D_50,TOPOLOGICAL,0.177967258582077,0.177967258582077
MACCS_99,TOPOLOGICAL,0.17737717415314488,0.17737717415314488
MACCS_152,TOPOLOGICAL,0.17680910314569123,0.17680910314569123
MolLogP,PHYSICOCHEMICAL,0.17483140925979074,0.17483140925979074
MACCS_114,TOPOLOGICAL,0.17474597032043404,0.17474597032043404
Morgan_128,TOPOLOGICAL,0.1742040643103685,0.1742040643103685
AUTOCORR2D_49,TOPOLOGICAL,0.17260197764570268,0.17260197764570268
Morgan_294,TOPOLOGICAL,0.17099977638592403,0.17099977638592403
fr_Al_OH_noTert,COMPOSITIONAL,0.17080993785749599,0.17080993785749599
Morgan_225,TOPOLOGICAL,0.17064646719620394,0.17064646719620394
AUTOCORR2D_103,TOPOLOGICAL,-0.16981955599924084,0.16981955599924084
AUTOCORR2D_41,TOPOLOGICAL,0.16965775372943975,0.16965775372943975
fr_Ar_N,COMPOSITIONAL,-0.169465385483468,0.169465385483468
MACCS_100,TOPOLOGICAL,0.169211135759255,0.169211135759255
MACCS_82,TOPOLOGICAL,0.16899253542339698,0.16899253542339698
Morgan_145,TOPOLOGICAL,0.16866781465084982,0.16866781465084982
fr_ketone_Topliss,COMPOSITIONAL,0.16825824841778336,0.16825824841778336
AUTOCORR2D_112,TOPOLOGICAL,-0.167786834063939,0.167786834063939
Morgan_677,TOPOLOGICAL,0.16727141034886756,0.16727141034886756
MACCS_65,TOPOLOGICAL,-0.16660949747364195,0.16660949747364195
MACCS_110,TOPOLOGICAL,0.16527356718762432,0.16527356718762432
AUTOCORR2D_134,TOPOLOGICAL,-0.16506141363758292,0.16506141363758292
Morgan_33,TOPOLOGICAL,0.16421661739235022,0.16421661739235022
Morgan_973,TOPOLOGICAL,0.16389111639370016,0.16389111639370016
PEOE_VSA8,PHYSICOCHEMICAL,0.16219658009589324,0.16219658009589324
MACCS_57,TOPOLOGICAL,0.16218217269003982,0.16218217269003982
MACCS_160,TOPOLOGICAL,0.16209193154137697,0.16209193154137697
MACCS_141,TOPOLOGICAL,0.16154792216907984,0.16154792216907984
FpDensityMorgan1,TOPOLOGICAL,-0.1612547286586589,0.1612547286586589
Morgan_1,TOPOLOGICAL,0.16026351790547852,0.16026351790547852
fr_ketone,COMPOSITIONAL,0.15926840812166437,0.15926840812166437
Morgan_739,TOPOLOGICAL,0.15833197494284057,0.15833197494284057
fr_Ar_OH,COMPOSITIONAL,-0.15831823953856633,0.15831823953856633
Morgan_231,TOPOLOGICAL,0.15758095502480338,0.15758095502480338
Morgan_63,TOPOLOGICAL,-0.157373044013164,0.157373044013164
fr_imide,COMPOSITIONAL,0.15693122124624592,0.15693122124624592
MACCS_71,TOPOLOGICAL,-0.1569001088615335,0.1569001088615335
Morgan_64,TOPOLOGICAL,-0.15611873299182258,0.15611873299182258
AUTOCORR2D_143,TOPOLOGICAL,-0.1556861501621457,0.1556861501621457
Morgan_114,TOPOLOGICAL,0.1556268668029227,0.1556268668029227
AUTOCORR2D_144,TOPOLOGICAL,0.15500670880403566,0.15500670880403566
Morgan_849,TOPOLOGICAL,-0.15429209256199927,0.15429209256199927
AUTOCORR2D_118,TOPOLOGICAL,-0.15409553954212443,0.15409553954212443
PEOE_VSA12,PHYSICOCHEMICAL,0.15373711825633013,0.15373711825633013
fr_allylic_oxid,COMPOSITIONAL,0.15343882519916818,0.15343882519916818
AUTOCORR2D_111,TOPOLOGICAL,-0.15326555067156877,0.15326555067156877
Morgan_578,TOPOLOGICAL,-0.15309123859648718,0.15309123859648718
Morgan_622,TOPOLOGICAL,0.15297013400144652,0.15297013400144652
AUTOCORR2D_127,TOPOLOGICAL,-0.15286829379851927,0.15286829379851927
AUTOCORR2D_126,TOPOLOGICAL,-0.15250392358459827,0.15250392358459827
AUTOCORR2D_184,TOPOLOGICAL,-0.15174864765629437,0.15174864765629437
MACCS_63,TOPOLOGICAL,-0.15163995004390846,0.15163995004390846
MACCS_70,TOPOLOGICAL,-0.15101105446683583,0.15101105446683583
AUTOCORR2D_135,TOPOLOGICAL,-0.14993676319980423,0.14993676319980423
MACCS_92,TOPOLOGICAL,0.14946597940175543,0.14946597940175543
Morgan_412,TOPOLOGICAL,0.14905860271591057,0.14905860271591057
fr_alkyl_halide,COMPOSITIONAL,0.14886898993309491,0.14886898993309491
Morgan_714,TOPOLOGICAL,0.14824858236670302,0.14824858236670302
fr_urea,COMPOSITIONAL,0.14821124984487602,0.14821124984487602
MACCS_125,TOPOLOGICAL,-0.14809296755599632,0.14809296755599632
MACCS_119,TOPOLOGICAL,-0.14778800871805023,0.14778800871805023
Morgan_860,TOPOLOGICAL,0.14771916380715713,0.14771916380715713
Morgan_453,TOPOLOGICAL,0.14742723624860388,0.14742723624860388
AUTOCORR2D_180,TOPOLOGICAL,0.1469674404328446,0.1469674404328446
Morgan_897,TOPOLOGICAL,0.14676399157330605,0.14676399157330605
MACCS_24,TOPOLOGICAL,-0.1464750814539205,0.1464750814539205
Morgan_10,TOPOLOGICAL,0.14535112038032774,0.14535112038032774
Morgan_41,TOPOLOGICAL,0.14495082549439092,0.14495082549439092
AUTOCORR2D_110,TOPOLOGICAL,-0.14471286374773973,0.14471286374773973
MACCS_131,TOPOLOGICAL,0.14429072714560928,0.14429072714560928
AUTOCORR2D_114,TOPOLOGICAL,0.14426537109628032,0.14426537109628032
AUTOCORR2D_176,TOPOLOGICAL,0.1418869619256767,0.1418869619256767
Morgan_757,TOPOLOGICAL,0.14171467721615671,0.14171467721615671
MACCS_94,TOPOLOGICAL,-0.14110212930325805,0.14110212930325805
Morgan_242,TOPOLOGICAL,0.14071251390365766,0.14071251390365766
MACCS_48,TOPOLOGICAL,-0.14013419044377984,0.14013419044377984
Morgan_130,TOPOLOGICAL,0.13987571839697283,0.13987571839697283
Morgan_939,TOPOLOGICAL,-0.13987440829413483,0.13987440829413483
Morgan_429,TOPOLOGICAL,0.13975779359251345,0.13975779359251345
Morgan_715,TOPOLOGICAL,-0.13961747501224506,0.13961747501224506
Morgan_831,TOPOLOGICAL,-0.13871029475067329,0.13871029475067329
MACCS_49,TOPOLOGICAL,-0.1384089942136999,0.1384089942136999
PEOE_VSA11,PHYSICOCHEMICAL,0.13833831343780542,0.13833831343780542
fr_Nhpyrrole,COMPOSITIONAL,-0.1382337139976101,0.1382337139976101
fr_Ar_NH,COMPOSITIONAL,-0.1382337139976101,0.1382337139976101
MACCS_56,TOPOLOGICAL,-0.13816111817022037,0.13816111817022037
mose_benzene,TOPOLOGICAL,-0.137729034822154,0.137729034822154
fr_benzene,COMPOSITIONAL,-0.137729034822154,0.137729034822154
NumAromaticCarbocycles,COMPOSITIONAL,-0.13764403648188397,0.13764403648188397
fr_NH1,COMPOSITIONAL,0.13760510191734102,0.13760510191734102
EState_VSA5,PHYSICOCHEMICAL,0.13532889858796845,0.13532889858796845
fr_nitro,COMPOSITIONAL,-0.13526364112696987,0.13526364112696987
MACCS_150,TOPOLOGICAL,0.1349359441256693,0.1349359441256693
AUTOCORR2D_142,TOPOLOGICAL,-0.13481428571219697,0.13481428571219697
AUTOCORR2D_98,TOPOLOGICAL,0.13457549024586413,0.13457549024586413
MACCS_73,TOPOLOGICAL,-0.13345883352243618,0.13345883352243618
MACCS_135,TOPOLOGICAL,-0.13282282454035466,0.13282282454035466
Morgan_610,TOPOLOGICAL,0.13272023232456365,0.13272023232456365
MACCS_96,TOPOLOGICAL,0.1322813607452018,0.1322813607452018
AUTOCORR2D_168,TOPOLOGICAL,0.13198507634577708,0.13198507634577708
Morgan_656,TOPOLOGICAL,0.13192786774941578,0.13192786774941578
AUTOCORR2D_119,TOPOLOGICAL,-0.13192304445202213,0.13192304445202213
AUTOCORR2D_152,TOPOLOGICAL,0.130847079953015,0.130847079953015
