Feature,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Abs_Pearson,Abs_Spearman,Quadratic_R2
BertzCT,-0.4800236591339783,0.0,-0.5040697540440213,0.0,0.4800236591339783,0.5040697540440213,0.24891103062385977
Chi2n,-0.4792378543251909,0.0,-0.5443491325080746,0.0,0.4792378543251909,0.5443491325080746,0.25553490997025874
AUTOCORR2D_47,-0.4786945210052132,0.0,-0.4873755110980016,0.0,0.4786945210052132,0.4873755110980016,0.2294147900192942
mose_path5,-0.4752510229696847,0.0,-0.5370012537704381,0.0,0.4752510229696847,0.5370012537704381,0.267618737749745
AUTOCORR2D_23,-0.47447399891962244,0.0,-0.4904727055461064,0.0,0.47447399891962244,0.4904727055461064,0.22529662599145606
AUTOCORR2D_39,-0.47286141807512605,0.0,-0.4897958639449576,0.0,0.47286141807512605,0.4897958639449576,0.22376179690109232
AUTOCORR2D_25,-0.47283056773486853,0.0,-0.6235857445414457,0.0,0.47283056773486853,0.6235857445414457,0.4052163100614351
FpDensityMorgan2,0.46752458295700927,0.0,0.4091443907596679,7.34994203196503e-300,0.46752458295700927,0.4091443907596679,0.21935892295232584
MACCS_145,-0.4672423847411759,0.0,-0.4674791858209468,0.0,0.4672423847411759,0.4674791858209468,0.21831544609862097
Chi3v,-0.46563675785347414,0.0,-0.5813484874848017,0.0,0.46563675785347414,0.5813484874848017,0.2756720186019853
AUTOCORR2D_3,-0.4591828609633273,0.0,-0.5417031052662248,0.0,0.4591828609633273,0.5417031052662248,0.3019606452403051
Chi3n,-0.4579225958367909,0.0,-0.5460205226494605,0.0,0.4579225958367909,0.5460205226494605,0.2530015335023146
AUTOCORR2D_10,-0.4573610717996993,0.0,-0.585348727824725,0.0,0.4573610717996993,0.585348727824725,0.34794574127571387
AUTOCORR2D_45,-0.45632879667169846,0.0,-0.48703335727026287,0.0,0.45632879667169846,0.48703335727026287,0.22474943317906948
AUTOCORR2D_36,-0.45289887389069716,0.0,-0.5036493914728172,0.0,0.45289887389069716,0.5036493914728172,0.23780129814313733
AUTOCORR2D_20,-0.4513294195166491,0.0,-0.5025495898873946,0.0,0.4513294195166491,0.5025495898873946,0.23725447785505782
abraham_V,-0.4486135839200624,0.0,-0.49106536537201717,0.0,0.4486135839200624,0.49106536537201717,0.21486527639254593
AUTOCORR2D_9,-0.43543651225315544,0.0,-0.592931511402581,0.0,0.43543651225315544,0.592931511402581,0.361562774175351
AUTOCORR2D_8,-0.43280506720204703,0.0,-0.6059526233161884,0.0,0.43280506720204703,0.6059526233161884,0.37503398037373437
Chi4n,-0.4279433936388495,0.0,-0.5449082532033053,0.0,0.4279433936388495,0.5449082532033053,0.24803097071642932
AUTOCORR2D_2,-0.4257732663982715,0.0,-0.5339838693789769,0.0,0.4257732663982715,0.5339838693789769,0.3251790974926415
