Feature,Category
fr_ketone,COMPOSITIONAL
fr_ketone_Topliss,COMPOSITIONAL
fr_lactam,COMPOSITIONAL
fr_lactone,COMPOSITIONAL
fr_methoxy,COMPOSITIONAL
fr_morpholine,COMPOSITIONAL
fr_nitrile,COMPOSITIONAL
fr_nitro,COMPOSITIONAL
fr_nitro_arom,COMPOSITIONAL
fr_nitro_arom_nonortho,COMPOSITIONAL
fr_nitroso,COMPOSITIONAL
fr_oxazole,COMPOSITIONAL
fr_oxime,COMPOSITIONAL
fr_para_hydroxylation,COMPOSITIONAL
fr_phenol,COMPOSITIONAL
fr_phenol_noOrthoHbond,COMPOSITIONAL
fr_phos_acid,COMPOSITIONAL
fr_phos_ester,COMPOSITIONAL
fr_piperdine,COMPOSITIONAL
fr_piperzine,COMPOSITIONAL
fr_priamide,COMPOSITIONAL
fr_prisulfonamd,COMPOSITIONAL
fr_pyridine,COMPOSITIONAL
fr_quatN,COMPOSITIONAL
fr_sulfide,COMPOSITIONAL
fr_sulfonamd,COMPOSITIONAL
fr_sulfone,COMPOSITIONAL
fr_term_acetylene,COMPOSITIONAL
fr_tetrazole,COMPOSITIONAL
fr_thiazole,COMPOSITIONAL
fr_thiocyan,COMPOSITIONAL
fr_thiophene,COMPOSITIONAL
fr_unbrch_alkane,COMPOSITIONAL
fr_urea,COMPOSITIONAL
mose_cyc3,TOPOLOGICAL
mose_cyc4,TOPOLOGICAL
mose_cyc5,TOPOLOGICAL
mose_cyc6,TOPOLOGICAL
mose_cyc7,TOPOLOGICAL
mose_cyc8,TOPOLOGICAL
mose_benzene,TOPOLOGICAL
mose_branched_4,TOPOLOGICAL
mose_star_5,TOPOLOGICAL
mose_fused,TOPOLOGICAL
mose_path3,TOPOLOGICAL
mose_path4,TOPOLOGICAL
mose_path5,TOPOLOGICAL
BalabanJ,TOPOLOGICAL
BertzCT,TOPOLOGICAL
HallKierAlpha,TOPOLOGICAL
Kappa1,TOPOLOGICAL
Kappa2,TOPOLOGICAL
Phi,TOPOLOGICAL
pred_Tm,ENERGETIC
abraham_A,ENERGETIC
abraham_B,ENERGETIC
abraham_S,ENERGETIC
abraham_E,ENERGETIC
abraham_V,ENERGETIC
MaxAbsEStateIndex,PHYSICOCHEMICAL
MaxEStateIndex,PHYSICOCHEMICAL
MinAbsEStateIndex,PHYSICOCHEMICAL
MinEStateIndex,PHYSICOCHEMICAL
qed,PHYSICOCHEMICAL
SPS,PHYSICOCHEMICAL
MaxPartialCharge,PHYSICOCHEMICAL
MinPartialCharge,PHYSICOCHEMICAL
MaxAbsPartialCharge,PHYSICOCHEMICAL
MinAbsPartialCharge,PHYSICOCHEMICAL
AvgIpc,PHYSICOCHEMICAL
LabuteASA,PHYSICOCHEMICAL
PEOE_VSA1,PHYSICOCHEMICAL
PEOE_VSA10,PHYSICOCHEMICAL
PEOE_VSA11,PHYSICOCHEMICAL
PEOE_VSA12,PHYSICOCHEMICAL
PEOE_VSA13,PHYSICOCHEMICAL
PEOE_VSA14,PHYSICOCHEMICAL
PEOE_VSA2,PHYSICOCHEMICAL
PEOE_VSA3,PHYSICOCHEMICAL
PEOE_VSA4,PHYSICOCHEMICAL
PEOE_VSA5,PHYSICOCHEMICAL
PEOE_VSA6,PHYSICOCHEMICAL
PEOE_VSA7,PHYSICOCHEMICAL
PEOE_VSA8,PHYSICOCHEMICAL
PEOE_VSA9,PHYSICOCHEMICAL
TPSA,PHYSICOCHEMICAL
EState_VSA1,PHYSICOCHEMICAL
EState_VSA10,PHYSICOCHEMICAL
EState_VSA11,PHYSICOCHEMICAL
EState_VSA2,PHYSICOCHEMICAL
EState_VSA3,PHYSICOCHEMICAL
EState_VSA4,PHYSICOCHEMICAL
EState_VSA5,PHYSICOCHEMICAL
EState_VSA6,PHYSICOCHEMICAL
EState_VSA7,PHYSICOCHEMICAL
EState_VSA8,PHYSICOCHEMICAL
EState_VSA9,PHYSICOCHEMICAL
FractionCSP3,PHYSICOCHEMICAL
NumAtomStereoCenters,PHYSICOCHEMICAL
NumHeterocycles,PHYSICOCHEMICAL
MolLogP,PHYSICOCHEMICAL
