iter	Passed	Remaining
536	31281	143476
537	31339	143416
538	31399	143367
539	31462	143327
540	31521	143275
541	31577	143206
542	31635	143145
543	31690	143072
544	31746	143006
545	31804	142944
546	31866	142904
547	31922	142835
548	31981	142779
549	32042	142733
550	32106	142701
551	32167	142654
552	32232	142625
553	32290	142567
554	32348	142509
555	32406	142449
556	32468	142405
557	32529	142358
558	32612	142409
559	32687	142422
560	32747	142374
561	32807	142321
562	32868	142274
563	32935	142251
564	32997	142209
565	33058	142162
566	33116	142103
567	33178	142058
568	33244	142033
569	33307	141996
570	33368	141947
571	33431	141910
572	33492	141861
573	33551	141804
574	33610	141749
575	33672	141704
576	33737	141673
577	33800	141632
578	33873	141634
579	33933	141585
580	33995	141538
581	34053	141480
582	34110	141415
583	34169	141356
584	34226	141294
585	34283	141229
586	34339	141160
587	34397	141100
588	34455	141037
589	34514	140980
590	34570	140916
591	34624	140839
592	34687	140796
593	34757	140783
594	34815	140725
595	34878	140683
596	34943	140653
597	34999	140582
598	35060	140534
599	35124	140498
600	35187	140456
601	35255	140435
602	35308	140356
603	35366	140295
604	35424	140233
605	35481	140171
606	35539	140108
607	35595	140040
608	35655	139987
609	35718	139944
610	35783	139914
611	35845	139868
612	35910	139835
613	36003	139910
614	36063	139854
615	36123	139803
616	36183	139749
617	36243	139695
618	36301	139634
619	36359	139571
620	36415	139506
621	36480	139470
622	36561	139497
623	36658	139583
624	36724	139552
625	36778	139477
626	36833	139404
627	36890	139336
628	36948	139275
629	37004	139208
630	37057	139126
631	37113	139057
632	37176	139015
633	37234	138952
634	37296	138907
635	37355	138847
636	37412	138783
637	37470	138723
638	37527	138658
639	37586	138602
640	37646	138546
641	37701	138474
642	37758	138409
643	37822	138368
644	37881	138311
645	37939	138249
646	37997	138188
647	38054	138123
648	38110	138055
649	38167	137988
650	38222	137918
651	38276	137840
652	38333	137776
653	38391	137715
654	38448	137651
655	38503	137579
656	38559	137511
657	38617	137449
658	38674	137385
659	38730	137316
660	38785	137246
661	38842	137180
662	38899	137116
663	38965	137083
664	39021	137016
665	39079	136954
666	39136	136888
667	39194	136829
668	39255	136778
669	39315	136723
670	39380	136685
671	39437	136622
672	39493	136555
673	39550	136488
674	39605	136418
675	39664	136362
676	39723	136302
677	39783	136250
678	39844	136197
679	39904	136144
680	39961	136080
681	40020	136023
682	40080	135967
683	40143	135925
684	40208	135885
685	40271	135842
686	40335	135802
687	40389	135728
688	40447	135667
689	40505	135606
690	40561	135536
691	40617	135468
692	40674	135404
693	40730	135337
694	40786	135270
695	40843	135205
696	40902	135146
697	40969	135117
698	41027	135056
699	41090	135011
700	41149	134954
701	41208	134897
702	41267	134839
703	41325	134776
704	41384	134719
705	41440	134652
706	41497	134588
707	41554	134524
708	41611	134460
709	41667	134391
710	41724	134327
711	41780	134259
712	41837	134197
713	41894	134134
714	41948	134057
715	42003	133990
716	42060	133924
717	42121	133872
718	42189	133843
719	42248	133786
720	42342	133840
721	42414	133824
722	42477	133777
723	42535	133716
724	42592	133652
725	42656	133609
726	42715	133552
727	42773	133489
728	42837	133448
729	42894	133383
730	42951	133320
731	43010	133261
732	43066	133194
733	43123	133129
734	43180	133067
735	43237	133000
736	43294	132936
737	43352	132876
738	43413	132824
739	43475	132775
740	43539	132734
741	43603	132692
742	43664	132639
743	43725	132587
744	43787	132537
745	43848	132485
746	43909	132432
747	43970	132382
748	44028	132319
749	44088	132266
750	44149	132212
751	44210	132160
752	44269	132103
753	44328	132046
754	44382	131972
755	44443	131919
756	44502	131862
757	44566	131818
758	44625	131760
759	44686	131706
760	44752	131671
761	44836	131686
762	44917	131691
763	44988	131668
764	45053	131628
765	45113	131571
766	45175	131522
767	45239	131476
768	45298	131419
769	45352	131345
770	45410	131284
771	45468	131223
772	45525	131158
773	45581	131089
774	45642	131037
775	45700	130975
776	45756	130909
777	45812	130841
778	45870	130779
779	45920	130696
780	45976	130630
781	46032	130562
782	46089	130500
783	46146	130435
784	46201	130365
785	46257	130299
786	46311	130225
787	46368	130162
788	46424	130094
789	46480	130027
790	46538	129965
791	46594	129898
792	46649	129830
793	46708	129770
794	46764	129704
795	46819	129636
796	46876	129573
797	46945	129542
798	47009	129497
799	47067	129435
800	47119	129358
801	47177	129295
802	47236	129239
803	47296	129182
804	47357	129129
805	47416	129072
806	47476	129017
807	47532	128949
808	47587	128879
809	47643	128813
810	47698	128745
811	47754	128679
812	47811	128615
813	47880	128584
814	47942	128531
815	48002	128478
816	48082	128474
817	48136	128403
818	48195	128345
819	48250	128275
820	48306	128210
821	48364	128148
822	48419	128078
823	48475	128012
824	48528	127937
825	48578	127857
826	48634	127791
827	48690	127725
828	48748	127663
829	48805	127598
830	48862	127537
831	48918	127470
832	48982	127424
833	49043	127371
834	49100	127309
835	49190	127329
836	49255	127286
837	49314	127230
838	49375	127174
839	49434	127117
840	49493	127059
841	49552	127000
842	49611	126942
843	49668	126877
844	49723	126809
845	49781	126749
846	49852	126719
847	49912	126664
848	49971	126605
849	50025	126535
850	50081	126468
851	50140	126410
852	50196	126345
853	50254	126283
854	50314	126226
855	50370	126160
856	50428	126099
857	50485	126036
858	50543	125977
859	50601	125914
860	50659	125855
861	50709	125773
862	50769	125716
863	50827	125656
864	50884	125593
865	50940	125527
866	50996	125461
867	51053	125399
868	51110	125335
869	51162	125260
870	51221	125202
871	51277	125135
872	51332	125068
873	51390	125005
874	51445	124939
875	51501	124873
876	51556	124806
877	51614	124743
878	51671	124682
879	51728	124619
880	51793	124575
881	51851	124513
882	51909	124453
883	51983	124431
884	52042	124372
885	52099	124309
886	52162	124261
887	52222	124205
888	52282	124148
889	52340	124087
890	52400	124031
891	52462	123980
892	52529	123940
893	52632	123985
894	52689	123924
895	52750	123868
896	52808	123809
897	52868	123751
898	52926	123692
899	52992	123648
900	53057	123603
901	53122	123560
902	53188	123517
903	53246	123457
904	53310	123410
905	53383	123381
906	53450	123341
907	53522	123313
908	53590	123276
909	53650	123220
910	53708	123158
911	53766	123096
912	53823	123033
913	53881	122973
914	53938	122909
915	53996	122846
916	54055	122788
917	54112	122726
918	54171	122666
919	54234	122616
920	54300	122573
921	54353	122502
922	54413	122444
923	54473	122387
924	54531	122327
925	54592	122274
926	54653	122219
927	54711	122158
928	54770	122099
929	54830	122042
930	54890	121986
931	54950	121929
932	55012	121876
933	55070	121815
934	55129	121755
935	55190	121702
936	55248	121641
937	55308	121585
938	55365	121521
939	55425	121464
940	55484	121406
941	55547	121354
942	55599	121281
943	55658	121223
944	55718	121166
945	55778	121109
946	55835	121045
947	55886	120969
948	55946	120912
949	56007	120858
950	56065	120798
951	56124	120738
952	56183	120680
953	56237	120610
954	56298	120555
955	56361	120504
956	56419	120443
957	56477	120383
958	56531	120314
959	56591	120256
960	56650	120197
961	56702	120125
962	56761	120066
963	56821	120008
964	56898	119988
965	56957	119929
966	57017	119872
967	57080	119822
968	57140	119765
969	57203	119713
970	57263	119657
971	57322	119599
972	57383	119543
973	57445	119491
974	57500	119423
975	57559	119364
976	57631	119333
977	57689	119271
978	57749	119214
979	57809	119159
980	57867	119096
981	57923	119033
982	57983	118975
983	58042	118915
984	58100	118855
985	58156	118790
986	58213	118726
987	58271	118665
988	58321	118588
989	58378	118525
990	58433	118459
991	58492	118400
992	58552	118343
993	58612	118285
994	58669	118223
995	58727	118162
996	58784	118099
997	58843	118041
998	58901	117979
999	58958	117917
1000	59015	117854
1001	59085	117817
1002	59140	117750
1003	59194	117682
1004	59251	117619
1005	59306	117550
1006	59364	117490
1007	59420	117426
1008	59477	117363
1009	59537	117306
1010	59595	117245
1011	59656	117189
1012	59714	117129
1013	59773	117071
1014	59828	117004
1015	59889	116949
1016	59945	116884
1017	60002	116822
1018	60058	116756
1019	60114	116692
1020	60169	116625
1021	60226	116564
1022	60408	116742
1023	60466	116681
1024	60519	116610
1025	60576	116548
1026	60632	116483
1027	60688	116418
1028	60759	116381
1029	60832	116349
1030	60898	116304
1031	60959	116248
1032	61019	116190
1033	61075	116125
1034	61141	116081
1035	61205	116031
1036	61265	115973
1037	61325	115915
1038	61383	115854
1039	61442	115796
1040	61503	115739
1041	61562	115679
1042	61620	115619
1043	61679	115560
1044	61736	115496
1045	61795	115438
1046	61853	115376
1047	61909	115312
1048	61961	115240
1049	62019	115178
1050	62086	115134
1051	62146	115077
1052	62201	115010
1053	62259	114950
1054	62317	114888
1055	62378	114832
1056	62438	114776
1057	62496	114715
1058	62554	114654
1059	62618	114602
1060	62679	114548
1061	62739	114489
1062	62798	114431
1063	62867	114390
1064	62928	114335
1065	62979	114261
1066	63036	114198
1067	63094	114136
1068	63151	114074
1069	63229	114049
1070	63416	114221
1071	63528	114256
1072	63581	114185
1073	63637	114120
1074	63704	114075
1075	63760	114010
1076	63820	113953
1077	63879	113892
1078	63942	113840
1079	64002	113782
1080	64058	113716
1081	64113	113650
1082	64170	113587
1083	64227	113524
1084	64286	113463
1085	64339	113394
1086	64400	113338
1087	64461	113280
1088	64521	113223
1089	64581	113165
1090	64644	113113
1091	64703	113053
1092	64762	112993
1093	64820	112931
1094	64878	112871
1095	64936	112809
1096	64992	112745
1097	65052	112687
1098	65113	112630
1099	65163	112555
1100	65223	112497
1101	65281	112436
1102	65338	112373
1103	65396	112311
1104	65451	112245
1105	65509	112182
1106	65560	112109
1107	65619	112051
1108	65676	111987
1109	65741	111938
1110	65797	111873
1111	65854	111809
1112	65910	111746
1113	65968	111683
1114	66040	111646
1115	66102	111591
1116	66165	111538
1117	66221	111475
1118	66276	111407
1119	66331	111342
1120	66389	111281
1121	66445	111216
1122	66501	111151
1123	66558	111088
1124	66614	111024
1125	66669	110958
1126	66727	110896
1127	66786	110837
1128	66842	110772
1129	66901	110713
1130	66959	110652
1131	67015	110587
1132	67071	110522
1133	67131	110464
1134	67190	110405
1135	67251	110349
1136	67320	110306
1137	67381	110249
1138	67438	110186
1139	67503	110137
1140	67567	110086
1141	67629	110031
1142	67688	109970
1143	67754	109923
1144	67817	109870
1145	67883	109821
1146	67987	109834
1147	68058	109794
1148	68126	109749
1149	68188	109695
1150	68257	109650
1151	68328	109610
1152	68391	109556
1153	68456	109506
1154	68526	109464
1155	68603	109432
1156	68711	109452
1157	68787	109418
1158	68876	109406
1159	69062	109547
1160	69691	110390
1161	70053	110808
1162	70303	111046
1163	70447	111118
1164	70563	111145
1165	70653	111130
1166	70727	111091
1167	70803	111054
1168	70877	111014
1169	70974	111011
1170	71059	110988
1171	71136	110954
1172	71210	110912
1173	71286	110876
1174	71354	110827
1175	71426	110783
1176	71507	110754
1177	71576	110707
1178	71842	110962
1179	71946	110968
1180	72149	111125
1181	72291	111189
1182	72572	111465
1183	72786	111638
1184	72966	111758
1185	73089	111790
1186	73218	111832
1187	73337	111857
1188	73515	111974
1189	73630	111991
1190	73735	111996
1191	73889	112074
1192	74019	112115
1193	74187	112212
1194	74308	112239
1195	74439	112281
1196	74563	112312
1197	74687	112342
1198	74843	112421
1199	74957	112436
1200	75045	112411
1201	75125	112376
1202	75220	112362
1203	75301	112326
1204	75397	112314
1205	75487	112292
1206	75576	112269
1207	75667	112249
1208	75742	112204
1209	75832	112181
1210	75943	112191
1211	76033	112167
1212	76134	112161
1213	76212	112120
1214	76282	112069
1215	76353	112018
1216	76430	111976
1217	76508	111936
1218	76605	111922
1219	76794	112044
1220	76897	112039
1221	76995	112027
1222	77076	111991
1223	77157	111954
1224	77225	111898
1225	77291	111839
1226	77360	111784
1227	77422	111719
1228	77501	111680
1229	77581	111641
1230	77658	111598
1231	77738	111560
1232	77820	111523
1233	77920	111513
1234	78000	111473
1235	78084	111441
1236	78154	111386
1237	78222	111331
1238	78296	111283
1239	78357	111216
1240	78425	111160
1241	78488	111097
1242	78556	111040
1243	78619	110977
1244	78693	110929
1245	78762	110874
1246	78826	110812
1247	78892	110752
1248	78962	110699
1249	79031	110644
1250	79108	110600
1251	79172	110537
1252	79233	110471
1253	79297	110409
1254	79362	110348
1255	79420	110278
1256	79486	110218
1257	79556	110164
1258	79623	110106
1259	79698	110059
1260	79779	110020
1261	79849	109966
1262	79932	109931
1263	80007	109883
1264	80089	109846
1265	80193	109837
1266	80287	109816
1267	80355	109760
1268	80417	109694
1269	80484	109636
1270	80548	109573
1271	80617	109517
1272	80686	109462
1273	80754	109405
1274	80820	109345
1275	80899	109303
1276	80972	109252
1277	81044	109200
1278	81127	109163
1279	81216	109134
1280	81291	109087
1281	81376	109051
1282	81448	108999
1283	81521	108948
1284	81617	108929
1285	81694	108884
1286	81761	108824
1287	81831	108769
1288	81901	108714
1289	81968	108656
1290	82043	108607
1291	82123	108565
1292	82185	108500
1293	82253	108442
