iter	Passed	Remaining
790	3088	4720
791	3092	4716
792	3095	4711
793	3099	4707
794	3103	4704
795	3107	4699
796	3110	4695
797	3113	4690
798	3117	4686
799	3120	4681
800	3124	4676
801	3127	4671
802	3131	4667
803	3134	4662
804	3138	4658
805	3141	4654
806	3145	4649
807	3149	4645
808	3152	4641
809	3156	4637
810	3160	4633
811	3163	4629
812	3167	4624
813	3171	4620
814	3174	4616
815	3178	4611
816	3182	4608
817	3186	4603
818	3189	4599
819	3193	4595
820	3197	4591
821	3200	4587
822	3204	4582
823	3207	4578
824	3211	4573
825	3215	4569
826	3218	4565
827	3222	4561
828	3226	4557
829	3229	4552
830	3232	4547
831	3236	4543
832	3240	4539
833	3243	4535
834	3247	4531
835	3251	4526
836	3255	4523
837	3258	4518
838	3262	4514
839	3265	4510
840	3269	4505
841	3273	4501
842	3276	4497
843	3280	4493
844	3283	4488
845	3287	4484
846	3290	4479
847	3294	4475
848	3297	4470
849	3301	4466
850	3305	4462
851	3308	4458
852	3312	4453
853	3315	4449
854	3319	4445
855	3322	4440
856	3326	4436
857	3330	4432
858	3333	4428
859	3337	4424
860	3340	4419
861	3344	4415
862	3348	4411
863	3351	4407
864	3355	4403
865	3359	4398
866	3363	4394
867	3366	4390
868	3370	4386
869	3373	4382
870	3377	4378
871	3381	4374
872	3385	4369
873	3388	4365
874	3391	4361
875	3395	4356
876	3399	4352
877	3402	4348
878	3406	4344
879	3410	4340
880	3414	4336
881	3417	4331
882	3421	4327
883	3424	4323
884	3428	4319
885	3431	4314
886	3435	4310
887	3438	4305
888	3441	4301
889	3445	4296
890	3449	4293
891	3453	4289
892	3456	4285
893	3460	4281
894	3464	4277
895	3468	4273
896	3471	4268
897	3475	4264
898	3478	4260
899	3482	4256
900	3486	4252
901	3489	4248
902	3493	4244
903	3497	4240
904	3501	4236
905	3505	4232
906	3508	4228
907	3512	4224
908	3516	4220
909	3519	4215
910	3523	4211
911	3526	4207
912	3531	4203
913	3534	4199
914	3538	4195
915	3541	4191
916	3545	4187
917	3549	4183
918	3553	4179
919	3556	4175
920	3560	4171
921	3563	4166
922	3567	4162
923	3571	4158
924	3575	4154
925	3578	4150
926	3582	4146
927	3586	4142
928	3589	4138
929	3593	4134
930	3596	4129
931	3601	4126
932	3604	4121
933	3607	4117
934	3611	4113
935	3614	4108
936	3618	4105
937	3622	4100
938	3625	4096
939	3629	4092
940	3633	4088
941	3636	4084
942	3640	4080
943	3644	4076
944	3647	4072
945	3651	4068
946	3654	4063
947	3658	4059
948	3661	4055
949	3666	4052
950	3669	4047
951	3673	4044
952	3677	4040
953	3680	4035
954	3684	4031
955	3687	4027
956	3691	4023
957	3694	4018
958	3698	4015
959	3702	4010
960	3706	4007
961	3709	4002
962	3713	3998
963	3716	3994
964	3720	3990
965	3724	3986
966	3727	3982
967	3731	3977
968	3735	3973
969	3738	3969
970	3742	3965
971	3745	3961
972	3749	3957
973	3753	3954
974	3757	3950
975	3760	3945
976	3764	3941
977	3768	3937
978	3771	3933
979	3775	3929
980	3779	3925
981	3782	3921
982	3786	3917
983	3789	3913
984	3793	3908
985	3796	3904
986	3800	3900
987	3804	3896
988	3807	3892
989	3811	3888
990	3815	3884
991	3818	3880
992	3822	3876
993	3826	3872
994	3829	3868
995	3832	3863
996	3836	3859
997	3840	3855
998	3843	3851
999	3847	3847
1000	3850	3843
1001	3854	3838
1002	3857	3834
1003	3861	3830
1004	3864	3826
1005	3868	3822
1006	3872	3818
1007	3875	3814
1008	3879	3810
1009	3882	3806
1010	3886	3802
1011	3890	3797
1012	3893	3793
1013	3897	3790
1014	3901	3786
1015	3905	3782
1016	3908	3778
1017	3912	3774
1018	3916	3770
1019	3919	3766
1020	3923	3761
1021	3926	3757
1022	3930	3753
1023	3933	3749
1024	3937	3745
1025	3941	3741
1026	3946	3738
1027	3949	3734
1028	3953	3730
1029	3956	3726
1030	3960	3722
1031	3964	3718
1032	3968	3714
1033	3971	3710
1034	3975	3706
1035	3979	3702
1036	3982	3698
1037	3986	3694
1038	3989	3690
1039	3993	3686
1040	3997	3682
1041	4000	3678
1042	4004	3674
1043	4008	3670
1044	4012	3666
1045	4015	3662
1046	4019	3658
1047	4023	3655
1048	4027	3651
