Solute,Solvent,Num_Temps,Temp_Min,Temp_Max,R2_Known_Pred_vs_Exp,RMSE_Known,R2_Synthetic_vs_Apelblat,RMSE_Synthetic,Num_Synthetic_Temps,Holdout_Applicable,R2_Holdout_Interp_Pred_vs_Exp,R2_Holdout_Interp_Pred_vs_Apelblat,R2_Holdout_Extrap_Pred_vs_Exp,R2_Holdout_Extrap_Pred_vs_Apelblat,Exp_R2,Pred_R2,Shape_Correlation,Trend_Score,Category
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,CN1CCCC1=O,9,278,318,-5.840109152908973,0.40413309109957946,-0.37574790887471576,0.3885676510368564,4,True,-37.81016299195484,-41.47317184428872,-2.1458150612059486,-1.647700179972425,0.9985355597209876,0.999355458473897,0.9997050508364337,0.39981210186206617,Poor
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,CS(C)=O,6,293,318,-50.95305397606041,0.6100052436533155,-8.884220595087127,0.6293421137217751,4,False,,,,,0.9999520656971927,0.99938106904173,0.9999139197633882,0.3998589977610236,Poor
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,OCCO,9,278,318,0.2661005328481024,0.1617229075261753,0.773791890525634,0.19221758177575515,4,True,-3.5374587539825404,-3.478409120941879,0.7209337457257665,0.636185865856493,0.9965820320256317,0.9985347927611252,0.9999340562053354,0.7116614968054131,Moderate
CC(=O)C12OC1CC1C3CC=C4CC(=O)CCC4(C)C3C(O)CC12C,CS(C)=O,12,298,345,0.2707402433196042,0.18102096291726363,0.4603034074423946,0.31159136460868214,6,True,-1.3242233757142152,-1.3907080499409914,0.47915626638909214,0.41212526861091814,0.9972023560884378,0.9088170002673075,0.9955131939145712,0.6001791340649754,Poor
CC(=O)C12OC1CC1C3CC=C4CC(=O)CCC4(C)C3CCC12C,CS(C)=O,12,312,353,-4.314914948230593,0.4301818903031558,0.19801332599880872,0.37709009911719155,5,True,-50.829414051825346,-39.052894639241245,-0.8768156391736566,-0.9017033760855486,0.9977714192882101,0.8305509100057986,0.9761036495495369,0.42073490971070976,Poor
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,CS(C)=O,7,293,323,-11.111011273628911,0.5353569444407191,-1.2790407968412332,0.526927626830456,4,True,-210.3083599036746,-181.5991653349557,-4.531872364218395,-4.589646313930183,0.9996629663333254,0.9996711536740553,0.9998398751001363,0.39990220575483837,Poor
CC(=O)N1CCCC1C(=O)O,CCC(C)O,5,283,323,0.5586325862731529,0.1466927627317691,0.7676476190146506,0.15855129643902716,8,False,,,,,0.999884248507162,0.999918331272656,0.9998128906238593,0.7978303059656441,Moderate
CC(=O)N1CCCC1C(=O)O,ClCCl,5,283,303,-11.748931991547785,0.5753397885464435,-0.7668857766519901,0.5378984613425152,4,False,,,,,0.998521282076592,0.9978365154746879,0.999386349095139,0.3994445729139654,Poor
CC(=O)NC(CC(C)C)C(=O)O,CCC(C)O,9,283,323,-0.6303813094259074,0.19028622862647943,0.7498359537627494,0.16044034795381962,4,True,-10.343023974825194,-11.28387748106839,0.3862465478598316,0.4330536478482756,0.9998323791602957,0.9989294555356233,0.9986956389413051,0.6244758050242105,Poor
CC(=O)NC(CC(C)C)C(=O)O,CCCOC(C)=O,9,283,323,-2.3865933520409737,0.3469342127972195,0.17664205464159277,0.3654671425254027,4,True,-21.072725662150713,-21.05868968975233,-0.47665299696937624,-0.5000639940836955,0.9996798652872609,0.9970165789324854,0.9999459652370847,0.45238512522639185,Poor
