Solute,Solvent,Num_Temps,RMSE_Known,RMSE_Synthetic,R2_Known,R2_Synthetic,R2_Holdout_Interp,R2_Holdout_Extrap
CC(C)COc1cccc(B(O)O)c1,CCC(=O)CC,10,0.517848263525788,0.5582416866188625,-1.0,-1.0,-1.0,-1.0
CC(C)COc1cccc(B(O)O)c1,CCCOCCC,10,0.342675792353393,0.46068330265049146,-1.0,-0.7560422084922467,-1.0,-1.0
CC(C)COc1ccccc1B(O)O,CC1CCCCC1,22,1.152854630694491,1.4675636045742817,-1.0,-0.35800998558968944,-1.0,-1.0
CC(C)COc1ccccc1B(O)O,CCC(=O)CC,22,0.8787463845446654,1.0048630689325087,-1.0,-1.0,-1.0,-1.0
CC(C)COc1ccccc1B(O)O,CCCOCCC,17,0.7160406081543133,0.8073943244683168,-1.0,-1.0,-1.0,-1.0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,CC(C)CCO,8,0.029898498452155167,0.11825255784098695,0.9688762666305697,0.9040007581486224,0.9307390440161427,0.9718303649386352
CC(C)Cc1ccc(C(C)C(=O)O)cc1,CCCCCC,7,0.5932822904825737,0.6531844480836096,-1.0,-0.051487809656713956,-1.0,-1.0
CC(C)N1C(=O)N(c2ccccc2)CSC1=NC,CCCCCCCCO,10,0.27709865669955475,0.47413723844531613,0.16095025540352625,0.4498200304107055,-1.0,0.4861949080438466
CC(C)Oc1ccc2c(=O)c(-c3ccccc3)c,CC(=O)N(C)C,10,0.15100928832094307,0.17399810044668862,0.3261399104856917,0.7957586756230712,-1.0,0.6788461449809885
CC(C)Oc1ccc2c(=O)c(-c3ccccc3)c,ClCCl,7,1.10792236359411,1.0478572379304074,-1.0,-1.0,-1.0,-1.0
CC(C)c1ccc(N=C2NCCC3(CCCCC3)S2,CCCCCC,5,1.2743139785052953,1.281569113763292,-1.0,-1.0,,
CC(C)c1ccc(N=C2SCC3CCCN2C3)cc1,CCCCCC,5,1.2770713399542928,1.284940619214012,-1.0,-1.0,,
CC(C)c1ccc(N=C2SCC3CCCN2C3)cc1,CCCCCCCCO,5,0.7611921303146274,0.7412940114044355,-1.0,-1.0,,
CC(C)c1ccc2sc3ccccc3c(=O)c2c1,ClCCCl,8,0.5094334272514732,0.5534447204902017,-1.0,-1.0,-1.0,-1.0
CC(CS)C(=O)N1CCCC1C(=O)O,CCCCOC(C)=O,8,0.4525109992666085,0.5264063515480124,-1.0,-0.42047581575657955,-1.0,-1.0
CC(N)C(=O)O,CCC(C)O,5,0.28223019774037433,0.2827909541371491,-1.0,-1.0,,
CC(O)C1C(=O)N2C(C(=O)[O-])=C(S,CN1CCCC1=O,9,0.04793927668160162,0.06604318613040536,0.7642193279290552,0.900119128345065,0.8959477427834028,0.7632646234979054
CC(O)C1C(=O)N2C(C(=O)[O-])=C(S,CS(C)=O,7,0.0382857073294343,0.07683189983314359,0.7824832687955442,0.8270626668402605,0.19830803886206372,0.7818578885576786
CC1(C)C(C(=O)O)N2C(=O)C(NC(=O),CC(=O)CC(C)C,9,0.1482646951320982,0.201366782558229,-1.0,-0.6425798121649293,-1.0,-1.0
CC1(C)C(C(=O)O)N2C(=O)C(NC(=O),CCCCOC(C)=O,10,0.32372411638964654,0.3604087920729854,-1.0,-0.20955827539401573,-1.0,-0.9650884574264771
CC1(C)C2CCC1(C)C(O)C2,Cc1ccc(C(C)C)cc1,19,0.09992684866893169,0.07528159188294901,0.3756254891845141,0.8860778497267762,-1.0,0.9901439897497295
CC1(C)C2CCC1(CS(=O)(=O)O)C(=O),CC(=O)OC(C)=O,8,0.6482980794169393,0.7023284499548883,-1.0,-1.0,-1.0,-1.0
CC1(C)CCC2(C(=O)O)CCC3(C)C(=CC,CC(=O)CC(C)C,9,0.04171096042365764,0.05514246259243765,0.8736460433641736,0.9470700932807516,-0.7852719969368049,0.9919007993717261
CC1(C)CCC2(C(=O)O)CCC3(C)C(=CC,COC(C)(C)C,9,0.12916525495331183,0.1433333966870429,-1.0,-0.22903618648857083,-1.0,-0.8516958604107179
CC1(C)CCC2=C(O1)c1ccccc1C(=O)C,CC(O)CO,5,0.4240027808080742,0.3908358621100069,-1.0,-0.31965153115953227,,
CC1(C)CCC2=C(O1)c1ccccc1C(=O)C,CCC(C)O,5,0.062138303170496234,0.09407703165716236,0.842510955623246,0.9385486700423016,,
CC1(C)COP(=O)(C(C)(C)O)OC1,ClCCCl,9,1.1739190723992383,1.182206933558791,-1.0,-1.0,-1.0,-1.0
CC1(C)COP(=O)(C(C)(O)c2ccccc2),ClCCCl,13,0.9283948785344079,0.9197067587513156,-1.0,-1.0,-1.0,-1.0
CC1(C)COP(=O)(C(Nc2ccccc2)c2cc,ClC(Cl)(Cl)Cl,13,1.69576889232216,1.7130975893076632,-1.0,-1.0,-1.0,-1.0
CC1(C)COP(=O)(C(Nc2ccccc2)c2cc,ClCCCl,12,0.07610657430266395,0.12228166144344793,0.8715327905204194,0.9234854891768636,0.4364826641352102,0.927496872327753
